route_id,service_id,trip_id,trip_headsign,shape_id
1VTA,VTASEPT16,1VTASEPT16_IN_29V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_30V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_31V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_32V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_33V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_34V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_IN_35V,Vineyard Haven,1INVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_1V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_2V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_3V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_4V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_5V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_6V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_7V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_8V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_9V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_10V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_11V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_12V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_13V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_14V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_15V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_16V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_17V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_18V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_19V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_20V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_21V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_22V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_23V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_24V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_25V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_26V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_27V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_28V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_29V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_30V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_31V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_32V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_33V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_34V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_35V,Edgartown,1OUTVTA
1VTA,VTASEPT16,1VTASEPT16_OUT_36V,Edgartown,1OUTVTA

2VTA,APROCT2016,2APROCT16_IN_1VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_2VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_3VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_4VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_5VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_6VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_7VTA,Vineyard Haven,2INVTA
2VTA,APROCT2016,2APROCT16_IN_8VTA,Vineyard Haven,2INVTA

2VTA,APROCT2016,2APROCT16_OUT_1VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_2VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_3VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_4VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_5VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_6VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_7VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_8VTA,West Tisbury,2OUTVTA
2VTA,APROCT2016,2APROCT16_OUT_9VTA,West Tisbury,2OUTVTA


3VTA,APROCT2016,3APROCT16_IN_1VTA,Vineyard Haven,3INVTA
