route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
PROV2BOAT,HARBOLABORBOAT,HARBO14BOAT,Boston, , , 
PROV2BOAT,HARBOLABORBOAT,HARBO15BOAT,Boston, , , 
PROV2BOAT,HARBOLABORBOAT,HARBO16BOAT,Boston, , , 
PROV2BOAT,HARBOMOFABOAT,HARBO17BOAT,Provincetown, , , 
PROV2BOAT,HARBOMOFABOAT,HARBO18BOAT,Provincetown, , , 
PROV2BOAT,HARBOMOFABOAT,HARBO19BOAT,Boston, , , 
PROV2BOAT,HARBOMOFABOAT,HARBO20BOAT,Boston, , , 
PROV2BOAT,HARBOTUTHFABOAT,HARBO21BOAT,Provincetown, , , 
PROV2BOAT,HARBOTUTHFABOAT,HARBO22BOAT,Boston, , , 
PROV2BOAT,HARBOFRFABOAT,HARBO23BOAT,Provincetown, , , 
PROV2BOAT,HARBOFRFABOAT,HARBO24BOAT,Provincetown, , , 
PROV2BOAT,HARBOFRFABOAT,HARBO25BOAT,Boston, , , 
PROV2BOAT,HARBOFRFABOAT,HARBO26BOAT,Boston, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO27BOAT,Provincetown, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO28BOAT,Provincetown, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO29BOAT,Provincetown, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO30BOAT,Boston, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO31BOAT,Boston, , , 
PROV2BOAT,HARBOENDFABOAT,HARBO32BOAT,Boston, , , 
PROV2BOAT,HARBOFA2BOAT,HARBO33BOAT,Provincetown, , , 
PROV2BOAT,HARBOFA2BOAT,HARBO34BOAT,Boston, , , 
PROV2BOAT,HARBOFA3BOAT,HARBO35BOAT,Provincetown, , , 
PROV2BOAT,HARBOFA3BOAT,HARBO36BOAT,Boston, , , 
CHAPPBOAT,CHAPPSUMBOAT,CHAPPSUM1BOAT,Chappaquiddick, , , 
CHAPPBOAT,CHAPPSUMBOAT,CHAPPSUM2BOAT,Chappaquiddick, , , 
CHAPPBOAT,CHAPPWINBOAT,CHAPPWIN1BOAT,Nantucket, , , 
